sample,amplicon,frac,cooc,count,mut_all,mut_oneless,al,AY42,be,C36,d614g,de,ga,ka,B16173,mu,om1,om2121,om275,om2,om4,om5
sample_1.sorted.bam,48,0.4642857142857143,1,56,26,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,77,0.0,2,12,0,37,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,78,0.4,2,20,8,20,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,79,0.0,2,21,0,7,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,93,0.0,2,12,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,94,0.0,4,5,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,95,0.0,2,21,0,6,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,17,0,10,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,73,0.16666666666666666,2,6,1,1,,1.0,,,,,,,,,,,,,,
sample_1.sorted.bam,1,0.0,2,8,0,2,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,74,0.0,2,23,0,0,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,76,0.0,2,35,0,18,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,72,0.0,2,18,0,20,,,,1.0,,,,,,,,,,,,
sample_1.sorted.bam,78,0.875,1,32,28,0,,,,,1.0,,,,,,,,,,,
sample_1.sorted.bam,76,0.3698630136986301,2,73,27,35,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,92,0.4,2,30,12,7,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,30,0.21052631578947367,2,19,4,1,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,37,0.13636363636363635,2,22,3,2,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,73,0.17857142857142858,2,28,5,6,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,93,0.07692307692307693,2,13,1,5,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,94,0.5384615384615384,2,26,14,3,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,95,0.16666666666666666,3,12,2,3,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,97,0.23529411764705882,2,17,4,4,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,77,0.0,2,49,0,37,,,1.0,,,,1.0,,,,,,,,,
sample_1.sorted.bam,71,0.0,3,9,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,72,0.0,3,23,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,73,0.0,2,24,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,76,0.0,2,35,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,78,0.6190476190476191,2,21,13,15,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,96,0.0,2,8,0,4,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,97,0.11764705882352941,2,17,2,8,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,1,0.25,2,8,2,0,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,76,0.0,2,63,0,34,,,,,,,,1.0,1.0,,,,,,,
sample_1.sorted.bam,78,0.1111111111111111,2,9,1,27,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,73,0.0,2,9,0,0,,,,,,,,1.0,,,,,,,,
