sample	variant_group	proportion	mean	std_error
sample	A.23.1	0.000644908090937335	0.0006739894960058628	0.00014707143701218257
sample	AV.1	0.06433093786681204	0.06429128648534675	0.001366995365267524
sample	Alpha_B.1.1.7	0.021293469481477745	0.0214274815574	0.002027859742567689
sample	B.1	3.2384575551125813e-09	2.1207565690666652e-08	3.177330152512836e-08
sample	B.1.1	0.150874162903531	0.15108059146272354	0.004380141877802413
sample	B.1.1.318	0.0012250661331714959	0.0012453071375904785	0.00027738910426172665
sample	B.1.177	0.0009678210519175538	0.0009750439947335383	0.00030714077924307297
sample	B.1.617.3	0.0005061642620432344	0.0005269784660684596	0.00022218727031762383
sample	B.1.621	0.007200479977521841	0.007213773175157911	0.0006111846175766496
sample	B.1.623	0.003701611424660972	0.0036921816317086577	0.0009880568975409142
sample	Beta_B.1.351	0.031018066454813236	0.031001691511920688	0.0013768224409030957
sample	Delta_B.1.617.2	0.5789694493342871	0.5790523847178505	0.0027224486337199755
sample	Epsilon_B.1.427_429	0.0006838702120531889	0.0007392883999523298	0.000272698084865447
sample	Eta_B.1.525	0.054612212617780986	0.054638291530324914	0.0015408881749850558
sample	Gamma_P.1	0.025025732119616267	0.024848617591994887	0.0009586684051308957
sample	Iota_B.1.526	0.0005754441027244187	0.0005942172957237609	0.00027530664000348576
sample	Kappa_B.1.617.1	0.0019292060800406713	0.0019305968702881965	0.00048010117095307654
sample	Lambda_C.37	0.053242786561497606	0.05282083980176631	0.0015682154405218629
sample	Theta_P.3	0.0026916088751588086	0.0027461665729965313	0.0006576181347960607
sample	Zeta_P.2	0.0005070629769508443	0.0005014407807053577	0.00021245176719369985
