"lineage"	"sample"	"meanAF"	"meanAF_uniq"	"minAF_uniq_nonzero"	"N"	"lineage N. rules"	"lineage prop."
"AY.1"	"sample.freebayes.ann"	0.249496350807525	0	NA	4	31	0.129032258064516
"AY.2"	"sample.freebayes.ann"	0.209348944163363	0.0618910323439189	0.0386473429951691	3	29	0.103448275862069
"AY.3"	"sample.freebayes.ann"	0.24913344961506	0	NA	4	30	0.133333333333333
"AY.3.1"	"sample.freebayes.ann"	0.233562609014119	0	NA	4	32	0.125
"B.1.1.7"	"sample.freebayes.ann"	0.122139764996908	0	NA	2	22	0.0909090909090909
"B.1.1.7+S_E484K"	"sample.freebayes.ann"	0.116829340431825	0	NA	2	23	0.0869565217391304
"B.1.351"	"sample.freebayes.ann"	0.108192123139636	0	NA	1	18	0.0555555555555556
"B.1.351.2"	"sample.freebayes.ann"	0.0927361055482592	0	NA	1	21	0.0476190476190476
"B.1.351.3"	"sample.freebayes.ann"	0.0993066523684847	0	NA	1	22	0.0454545454545455
"B.1.617.2"	"sample.freebayes.ann"	0.29346809322033	0.847222222222222	0.847222222222222	4	21	0.19047619047619
"P.1"	"sample.freebayes.ann"	0.111394557823129	0	NA	2	23	0.0869565217391304
"P.1.1"	"sample.freebayes.ann"	0.122003563330094	0	NA	2	21	0.0952380952380952
"P.1.2"	"sample.freebayes.ann"	0.111394557823129	0	NA	2	23	0.0869565217391304
